,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedford,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,"Bournemouth, Christchurch and Poole",Bracknell Forest,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Camden,Central Bedfordshire,Cheshire East,Cheshire West and Chester,City of London,Cornwall,County Durham,Coventry,Croydon,Darlington,Derby,Doncaster,Dorset,Dudley,Ealing,East Riding of Yorkshire,Enfield,Gateshead,Greenwich,Hackney,Halton,Hammersmith and Fulham,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hillingdon,Hounslow,Isle of Wight,Isles of Scilly,Islington,Kensington and Chelsea,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Leeds,Leicester,Lewisham,Liverpool,Luton,Manchester,Medway,Merton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,Northumberland,Nottingham,Oldham,Peterborough,Plymouth,Portsmouth,Reading,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Rutland,Salford,Sandwell,Sefton,Sheffield,Shropshire,Slough,Solihull,South Gloucestershire,South Tyneside,Southampton,Southend-on-Sea,Southwark,St. Helens,Stockport,Stockton-on-Tees,Stoke-on-Trent,Sunderland,Sutton,Swindon,Tameside,Telford and Wrekin,Thurrock,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,West Berkshire,Westminster,Wigan,Wiltshire,Windsor and Maidenhead,Wirral,Wokingham,Wolverhampton,York,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,Cumbria,Lancashire,East Sussex,Hampshire,Kent,Oxfordshire,Surrey,West Sussex,Devon,Gloucestershire,Somerset,Staffordshire,Warwickshire,Worcestershire,North Yorkshire
Darlington,13347,12187,7020,24277,11100,14368,10560,11538,12840,9180,21211,15954,5760,11989,15635,15780,12060,17007,9120,8303,10885,32526,15475,14454,10512,42082,5618,12060,11580,0,8220,3000,48994,13800,13908,8121,11460,2460,12082,11139,11948,11997,11151,11520,3900,13435,44715,14323,14276,32888,,10221,11742,6420,12300,7955,11688,11790,3480,9840,13049,9840,13860,6660,14320,12437,1620,12180,1860,12309,9893,30070,19914,4789,,8940,9120,6240,23400,18000,13680,12749,3532,12427,8220,4980,,8100,13170,13474,6300,16521,13200,13320,19331,4719,16680,15000,11737,10779,9780,900,12600,3600,13320,15360,8672,38179,14729,23957,11399,12498,4380,12300,11502,11945,10260,36795,10940,10140,21931,16255,13604,14820,12480,1560,12255,10577,30795,18643,10482,13678,15439,34569,50063,37772,,12238,34634,19236,15490,17170,13108,33873,21666,14550,44396,,40974,36647,5561
Derby,10407,36127,3780,15937,6540,11627,2100,10398,9660,8040,17311,12114,6300,8389,12095,7440,36600,37605,7920,8603,7705,11874,6814,10194,7092,36202,37922,3540,7800,8100,0,3480,41854,5400,10212,11176,8880,10680,8507,7733,8493,8384,7671,8880,11640,10015,36375,10387,10856,45248,,7221,8105,7560,9360,9016,10622,8677,4500,1800,36773,9660,8940,5100,12853,10300,10200,5160,10080,9538,7973,22667,11394,13770,,1620,8160,8520,15660,14460,9780,9209,13264,9427,7980,3000,,7380,4650,12874,1680,7821,10140,5120,10055,13299,34800,11160,8557,8387,4500,10560,3060,12000,9780,8940,8510,13459,12989,15660,7919,9359,3660,3720,8262,9553,6240,35475,7637,6900,13808,12868,12104,28980,3960,6360,3478,3617,16192,11829,7122,11710,12883,33249,47843,35792,,8711,32654,34983,36465,9670,11668,42897,13007,6042,36056,,7807,7533,7661
Doncaster,11307,8947,3596,18577,8040,11267,6300,10038,11340,7680,18091,,4500,8929,12815,12240,9000,12945,8040,6803,7825,14034,10375,12954,7632,38782,11582,7740,8880,3360,3960,0,46054,9600,10260,6570,8340,5820,8962,8067,10204,8937,8271,8460,6540,10435,40575,10999,11276,21128,,7281,8682,3180,9240,7867,11568,8850,2160,6180,9958,8280,9600,4800,11473,9971,5160,9360,5340,10149,4373,6490,15958,8524,,5580,8100,3120,19860,14940,10620,9869,8164,9067,8520,1440,,6960,8850,11794,2400,12081,10440,9000,15095,8530,13980,11460,8737,9251,4200,5460,7020,7327,10260,12540,6272,17959,12809,19860,8579,9059,960,7920,8562,9022,10140,33195,7940,9300,17551,12148,11924,11880,8100,1260,8458,6257,9975,13925,6222,9430,12418,30969,45983,34592,,9398,31454,13997,11717,14110,10408,13886,17207,9845,40256,,12007,36947,5441
Dorset,19116,17823,25091,24365,16288,18817,16648,48827,46363,27683,6205,12442,47668,17458,18884,11274,16629,19133,26728,45049,16714,49174,47903,60682,15652,50570,50850,15328,15189,24268,20628,22548,0,20368,14278,52909,17769,28261,16764,16980,27859,16933,17220,13828,48028,16223,52003,15015,15052,19521,,16230,12610,51028,15669,48907,26859,16126,24708,17728,17587,22948,18429,22408,22096,16108,39568,18189,27148,17587,50421,52238,16482,47590,,22528,26728,16828,18988,11829,9868,18518,50329,15676,43168,22588,,24933,19018,47042,21208,23109,12208,16648,15983,45667,9549,17248,16066,27327,21748,44968,19948,42320,15849,11688,26552,64847,20313,19245,17288,27797,23748,18148,17511,14991,22168,,15527,22828,12050,14577,44652,10888,18148,21508,48343,20740,52963,23351,48665,18518,18026,51217,52251,50880,,24938,,11804,17378,14377,13237,50521,15763,15113,51684,,51215,53295,48909
Dudley,14067,29467,10200,16297,10020,14308,2100,12682,10762,9382,17191,11154,13620,11449,15215,8700,10740,11282,10582,15348,9445,,7474,9654,9372,36322,42302,4140,10260,13860,5280,10500,42214,0,12929,17781,10620,16740,10582,9939,8479,10604,10011,8280,19200,12175,31995,12939,12956,23716,,9021,10302,14460,11160,14555,11486,10350,10380,6060,11639,8842,13020,7942,13480,11790,17460,5880,15840,11469,15413,34570,12654,19350,,8040,10920,9720,16920,16680,9000,11669,18844,10927,10642,9000,,9262,2610,12416,7560,5980,10986,3896,10175,18879,14580,12900,10477,9244,6780,16740,4762,17580,11040,10200,10853,11779,13889,16920,10559,12021,9360,2664,10362,10445,5602,34575,9500,6262,15068,12815,11826,10380,1701,11880,9315,7937,35295,10989,30997,14830,13918,32349,52523,35612,,8252,32474,15006,13270,8968,11608,31653,14267,7302,36416,,8647,9509,14261
Ealing,6642,4943,13918,10574,8112,7124,8656,16244,14592,13572,12403,6249,14715,3480,7791,8115,5056,7227,14836,16898,3974,9186,12791,14586,3403,20374,37538,7216,4276,12555,9792,9975,36970,11776,0,17073,5416,15135,4742,4509,13940,2880,4866,3361,18315,6191,41091,3847,3932,15860,,3816,3177,14596,4808,17987,16587,4665,12195,8112,5953,12076,6976,12316,7949,5433,16095,5806,14355,5473,15065,30914,11829,17287,,10995,16156,6975,15015,10996,3675,5384,19939,3418,14955,12855,,14402,11446,15290,12312,15217,2536,9135,9414,17274,8595,7155,4552,13997,11656,15375,9976,16702,5433,5835,15380,20360,7605,15432,4274,16510,11175,10846,5097,4238,11536,11631,3513,12196,9163,4604,15541,5475,10246,10515,13827,10472,27399,11605,27253,9086,8158,29805,46055,27668,,13914,24530,8912,8002,8513,5743,11552,13872,9702,31355,,9563,25331,14156
East Riding of Yorkshire,18862,17192,10675,27212,22315,19407,13315,16315,17557,13957,44726,20689,9157,16844,20910,18775,17275,20902,13897,11880,15920,37663,18413,18709,15667,45659,15615,14815,16975,8353,10975,6955,52571,16915,18967,0,16555,10513,17027,16019,17185,17212,16366,16855,14173,18470,47092,18842,19465,30525,,15436,16657,1524,18115,11873,16433,16885,7537,13495,18324,14737,18175,11797,22664,18552,11953,16495,10033,17524,9745,,24469,13145,,12895,12178,11095,26335,23755,18115,18264,15797,17882,13117,10564,,12217,16465,18251,8755,18598,18295,16755,22170,13388,21715,20095,16532,15556,13057,11233,14857,12560,17995,19975,11709,42257,20059,26892,16614,15635,8677,14995,16717,17546,14437,41932,16035,14617,28389,20123,18741,19915,15235,5338,15550,13572,37852,21398,33554,17765,20873,43906,53298,42585,,16955,39447,21751,20225,45632,18623,39010,24601,17305,47394,,44551,39405,10074
Enfield,5127,4349,16980,13498,6840,6328,7140,14940,13500,12180,13351,6594,13260,3949,7535,9300,3900,8823,12180,16441,3625,8034,11935,12354,2652,21442,36722,5760,3360,11220,8460,8640,37954,10182,5160,15741,0,13800,4007,1691,11853,4304,1608,3300,16980,4135,41475,6487,6236,15128,,1939,3162,12540,4740,16055,15048,3450,10860,6780,5798,11220,5160,9600,7093,5411,14760,4020,13020,4149,13733,29110,12894,15952,,9660,13051,5640,15420,10140,4500,4169,18604,4147,12600,14580,,10980,9750,14434,10980,12981,4440,9020,10151,15939,7860,5760,3817,12827,8940,14040,7680,15367,4620,6660,12392,18679,6149,16097,2819,13319,9840,8820,1842,3605,9780,11835,2540,10440,10231,7060,14264,6600,9000,9180,12495,9137,25035,9489,25537,6070,6223,6129,44723,27752,,12218,9876,8177,6850,8014,4528,10696,13592,10745,32156,,10700,28907,12821
Gateshead,17615,15195,10088,26865,14168,17316,12968,14246,15488,11888,41319,18722,8948,14757,18943,18428,15128,19715,11828,11011,13953,35114,16344,18182,13700,44610,7270,14468,15248,2588,10628,6008,51522,16568,16820,11009,15488,0,15115,14087,15116,15065,14279,14588,2400,16623,47363,16995,17464,28096,,13349,14810,8768,15368,11023,14364,14858,5828,13148,16057,12668,15128,9368,22395,15505,4740,16148,175,16277,11941,32778,24122,2892,,12368,12428,9188,25988,21068,16388,15817,8170,15495,11048,8048,,10148,16118,16182,9008,21749,15608,16408,21823,2139,21788,17768,14805,13487,12248,3600,14708,1627,16388,18548,11380,45387,17797,26545,14527,13566,6788,14648,14570,15013,14040,39383,14068,12548,28042,17977,16672,18668,14888,4568,15203,13225,33503,21051,13513,14718,19491,37157,52771,40420,,12938,37282,21403,18745,20022,16476,36461,24254,16958,47044,,43502,39235,8329
Greenwich,3868,4170,17200,13118,6321,3345,7570,14837,13397,12077,11771,6162,13000,3762,6211,8830,3653,7256,12731,17496,2692,7654,11854,12905,1715,21283,36251,6190,2933,11388,8680,8500,37202,10612,4913,15721,3070,13968,0,3504,11750,3389,3668,4303,17148,3935,40663,6017,5227,12979,,2594,2965,12220,3593,16606,14945,3201,10600,7000,3069,11139,4641,10151,7026,4374,14928,4450,13188,2211,17793,29388,12424,16120,,9568,13602,5559,15261,7871,4433,3299,18772,3360,13151,14800,,11531,10180,14353,11200,13411,4733,8830,9588,16107,6833,4533,3264,12724,9491,14208,8121,15535,3550,5950,12943,18868,4642,15938,1949,13870,10329,9250,3935,3228,9677,13159,2081,10337,10072,6802,14815,5743,9430,9348,12715,9045,27299,9919,25815,6981,4864,7999,44252,25596,,12115,36743,7164,6415,7922,3819,9354,13433,11175,30994,,9737,28351,12989
Hackney,3463,3736,12678,13121,5632,6571,7047,14089,12649,12387,12175,6201,12206,3366,6406,,2957,7203,11667,15387,2897,7126,9661,12278,2251,20591,35973,5487,2897,11274,8178,7734,37145,10047,5152,15075,1674,13794,3434,,11002,3636,1754,3558,14274,3946,39844,6258,5206,14751,,1290,3357,11366,3627,15979,14197,3175,9866,6078,4850,10044,3892,9147,6667,3875,12834,3327,13194,3786,13519,28914,12288,15113,,8262,12207,4494,14967,9018,3927,3629,15898,3394,12524,10344,,11259,9717,13258,10638,12768,4578,8507,9452,15933,7412,4671,4064,11976,8487,13194,6807,14634,3677,5814,12391,17845,6080,15649,2703,13243,9026,8967,1939,3194,8929,11649,2249,9589,9380,6836,14188,5427,8307,9054,12096,7475,24299,8861,14279,5992,5854,6605,44537,9420,,11367,10019,7729,6249,7579,4340,9584,13824,10310,30901,,8614,26371,11982
Halton,14684,12444,10506,21646,13937,15585,7463,7961,7603,6023,21954,17117,8963,12726,16132,13943,12497,13182,6983,9286,11442,,10590,8777,11429,41728,42008,9443,12437,12523,10043,9743,48951,8723,14381,16287,12137,15223,12664,11891,0,12661,12188,12263,17083,14292,40470,14915,14893,32425,,11198,12479,12366,13337,11302,,12484,8046,11237,13726,4163,15263,4703,18864,13967,14863,7997,14383,13646,14296,33505,17661,17942,,10986,6654,14063,21563,17777,13643,13606,18707,13104,6323,9263,,5003,8573,7566,8243,7761,15383,11023,16798,17842,17423,15377,12414,2537,5663,14143,7943,17270,13217,14723,6818,15192,16066,21563,12436,6556,10523,8903,12539,12622,1883,41910,11557,4063,22674,17178,6917,15563,6023,10086,13238,13414,34230,14820,30709,16587,15960,39684,53920,39347,,5841,36209,18773,15027,14313,13665,38988,18910,11548,43153,,13710,34219,12482
